state,lat,lon
IN,38.1,-88.0163
IN,38.1313,-87.971
IN,38.1497,-87.9284
IN,38.1734,-87.9387
IN,38.1939,-87.973
IN,38.2349,-87.9813
IN,38.2608,-87.9421
IN,38.2759,-87.8604
IN,38.3029,-87.8302
IN,38.3233,-87.835
IN,38.3567,-87.8137
IN,38.3767,-87.7739
IN,38.4116,-87.7444
IN,38.5149,-87.6448
IN,38.546,-87.6723
IN,38.5949,-87.6105
IN,38.5986,-87.6242
IN,38.6828,-87.5343
IN,38.7284,-87.5075
IN,38.7696,-87.4972
IN,38.8247,-87.5322
IN,38.9039,-87.5171
IN,38.9413,-87.5253
IN,38.9712,-87.5281
IN,38.9872,-87.5761
IN,39.0906,-87.6228
IN,39.1066,-87.6517
IN,39.1365,-87.6599
IN,39.1695,-87.6366
IN,39.2493,-87.5899
IN,39.3492,-87.5336
IN,41.76,-87.5253
KS,40.0034,-102.0506
KS,40.0034,-102.0506
KS,36.9927,-102.0438
KS,36.9982,-94.6211
KS,38.8803,-94.6046
KS,39.0789,-94.6143
KS,39.1971,-94.6184
KS,39.1673,-94.7255
KS,39.2759,-94.8793
KS,39.5612,-95.099
KS,39.7283,-94.8807
KS,39.8286,-94.893
KS,39.8823,-94.9342
KS,39.8971,-95.0098
KS,39.876,-95.0922
KS,39.9445,-95.2213
KS,40.0087,-95.3036
KS,40.0024,-102.0506
KY,36.4986,-89.5372
KY,36.5074,-89.301
KY,36.5008,-88.6871
KY,36.4931,-88.0568
KY,36.6695,-88.0692
KY,36.6343,-87.8535
KY,36.6265,-86.5654
KY,36.5979,-83.6375
KY,36.686,-83.3423
KY,36.7466,-83.1377
KY,36.9762,-82.8589
KY,37.2894,-82.3192
KY,37.4934,-82.0308
KY,37.6653,-82.2121
KY,37.8618,-82.4016
KY,37.9908,-82.5073
KY,38.1778,-82.6392
KY,38.3761,-82.5952
KY,38.503,-82.7477
KY,38.5825,-82.8369
KY,38.7316,-82.9015
KY,38.7027,-83.0196
